	miRNA_names	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	change
1	hsa-let-7a-1	29698.3687535578	-0.662024387529699	0.124332424874009	-5.32463183437913	1.01157713876038e-07	4.5762873123754e-07	No change
2	hsa-let-7a-2	29643.2076398694	-0.663658236451218	0.1247071006921	-5.32173575336162	1.02781798512848e-07	4.61447449573305e-07	No change
3	hsa-let-7a-3	29787.3920921083	-0.660793393212421	0.124111387019105	-5.32419634558354	1.01400333719687e-07	4.5762873123754e-07	No change
4	hsa-let-7b	35597.71162086	-0.6190429123024	0.108156567731583	-5.72358133478037	1.04301597804325e-08	5.51582682867046e-08	No change
7	hsa-let-7f-1	16738.1982057229	-0.616436414511845	0.158266033790754	-3.89493816043211	9.82237858214179e-05	0.000312431377778827	No change
8	hsa-let-7f-2	16940.0134620771	-0.615044878991514	0.158591887350282	-3.87816104132152	0.000105249040341882	0.000332324808698542	No change
9	hsa-let-7g	2432.91284392032	-0.350875121484893	0.103452160271432	-3.39166548638796	0.000694691974894716	0.00189501418468116	No change
13	hsa-mir-101-1	16155.6063979165	-0.640755957113059	0.121750569701623	-5.26285797826964	1.41833140369211e-07	6.26975215375694e-07	No change
14	hsa-mir-101-2	16268.6391293109	-0.648406109143873	0.121731162934854	-5.32654164727627	1.00100336599945e-07	4.56542275921441e-07	No change
15	hsa-mir-103a-1	30902.9704092524	0.266421793569495	0.109343396803406	2.43656042667587	0.0148276918335585	0.0298632485059051	No change
16	hsa-mir-103a-2	30973.1264484359	0.265615022389326	0.108973220648849	2.4374339017219	0.0147919182126176	0.0298609683823802	No change
19	hsa-mir-106b	1921.74193126789	0.989046266712395	0.104415547036917	9.47221266161364	2.73977552848916e-21	6.94613678105193e-20	No change
20	hsa-mir-107	260.042204940011	0.261133917201735	0.0864186762704105	3.02173012213965	0.00251334518655323	0.0060516858961142	No change
21	hsa-mir-10a	117355.664695168	-0.588397599331477	0.15519907010732	-3.79124436070783	0.000149894383775396	0.000459818358770076	No change
22	hsa-mir-10b	48791.6301664446	-0.625932116716586	0.126758275467303	-4.93799804714165	7.89286329371537e-07	3.17927484073955e-06	No change
23	hsa-mir-1185-1	1.11394401699743	0.932995777197133	0.309225963668651	3.01719741165356	0.00255123605925087	0.00612580914505363	No change
24	hsa-mir-1226	3.89657394866065	0.744086762633611	0.238645163157856	3.11796289012329	0.00182105731547022	0.00455000407517488	No change
27	hsa-mir-1245a	6.44539978209987	0.568207179065917	0.206392747099193	2.75303850087733	0.00590449519716508	0.0131856861656899	No change
28	hsa-mir-1249	4.49501430866	0.443359942885102	0.16799663342619	2.6391001643488	0.0083126416131158	0.0180491110088308	No change
