id	filename	md5	size	state
00651829-d04a-45f7-86aa-0d8b61806098	00651829-d04a-45f7-86aa-0d8b61806098/cd6c88ea-c536-471f-a4b4-39acec8b55db.mirbase21.mirnas.quantification.txt	33c3db08f60bbbb7c42b45bf823ce8f6	50109	validated
0099ddb3-a514-476c-88e1-bf790c067223	0099ddb3-a514-476c-88e1-bf790c067223/a9c5301f-c110-4579-afd2-e3a8052b68c8.mirbase21.mirnas.quantification.txt	a0ebf7212648f57f02b0232084f81594	50171	validated
00a47351-5052-4cb1-a38b-00da7d37f5a2	00a47351-5052-4cb1-a38b-00da7d37f5a2/2790a83c-c46b-4363-9180-4d0997d004ba.mirbase21.mirnas.quantification.txt	13b06ee27eeed21bea06c593e49797c6	50271	validated
01422fc7-17c4-49c5-a5e5-f39e9c90a421	01422fc7-17c4-49c5-a5e5-f39e9c90a421/3e41d8ca-8899-42d5-b343-c9a3edbda7c2.mirbase21.mirnas.quantification.txt	99bfd9f55d6ee59dde39f7bc89e94df6	50222	validated
01be031d-0425-444a-af3b-6551d4291ce4	01be031d-0425-444a-af3b-6551d4291ce4/bffe8c08-12e4-4bb4-83c9-465a7f074fca.mirbase21.mirnas.quantification.txt	05532f1d8a40c547740214d7d49517a0	50276	validated
02ff7ea9-204d-42f7-b911-6687ebd52c10	02ff7ea9-204d-42f7-b911-6687ebd52c10/6eae6c2a-3c06-4fe4-9c97-a049d47fe1fa.mirbase21.mirnas.quantification.txt	097008cb21b8a87bcf7a6a5d42941dfd	50330	validated
032d8f8e-7c10-4a4b-a219-34ca2ba4a1f5	032d8f8e-7c10-4a4b-a219-34ca2ba4a1f5/c20a6fc2-810c-482f-b670-05f61bbbeb18.mirbase21.mirnas.quantification.txt	fcac89ae8d1caca6ecea656fce475f78	50315	validated
0428e561-55fe-489a-b441-8fc1502bfb65	0428e561-55fe-489a-b441-8fc1502bfb65/c7c47084-8742-48b8-ba3e-e8950ae70014.mirbase21.mirnas.quantification.txt	808ebf5abd7f1df141622599531c558d	50129	validated
04499791-3394-4b85-a981-3a209ab745ae	04499791-3394-4b85-a981-3a209ab745ae/4332a6e0-c02c-4cb1-81e9-db4479163740.mirbase21.mirnas.quantification.txt	44b02d7a81fb606b7496b865104656ca	50272	validated
047aa688-fa4b-4016-a50d-19147175d35c	047aa688-fa4b-4016-a50d-19147175d35c/cc0ce50c-8360-4ed0-bc1c-feb6b2406499.mirbase21.mirnas.quantification.txt	3d12acf9464cebd8116e7b596c4a0206	50077	validated
